Undergrad_Course_Title,Credit
EDU 471 - Supporting English Learners for School Success,1.5 credit(s).
EDU 472 - Nurturing Multilingual Students in Early Childhood,3 credit(s).
EDU 475 - Supervised Fieldwork,1 credit(s).
EDU 480 - Student Teaching,11 credit(s).
EDU 485 - Student Teaching Seminar,1 credit(s).
EDU 499 - Independent Study,1 to 6 credit(s).
EGR 151 - Engineering Concepts,3 credit(s).
EGR 232 - Materials Science and Engineering,3 credit(s).
EGR 251 - Engineering Mechanics I: Statics,3 credit(s).
EGR 471 - Capstone Experience in Engineering,3 credit(s).
ENG 110 - Fundamentals of Academic Writing,3 credit(s).
ENG 112 - Writing Arguments,3 credit(s).
ENG 119 - College Composition for Bilingual Students,3 credit(s).
ENG 120 - Writing Arguments for Bilingual Students,3 credit(s).
ENG 125 - Representing Sexism and Homophobia Critically,3 credit(s).
ENG 200 - Intermediate Composition,3 credit(s).
ENG 201 - Creative Writing,3 credit(s).
ENG 202 - Introduction to Poetry Writing,3 credit(s).
ENG 203 - Introduction to Fiction Writing,3 credit(s).
ENG 204 - Introduction to Memoir and Creative Nonfiction Writing,3 credit(s).
ENG 209 - Lyrics as Literature:Reading and Writing Song Lyrics,3 credit(s).
ENG 217 - Introduction to Literature,3 credit(s).
ENG 218 - The American Experience and Literature,3 credit(s).
ENG 219 - Time and Place in Literature,3 credit(s).
ENG 220 - Anglo-Irish Identities in Literature,3 credit(s).
ENG 235 - Seminar in Tutoring Writing: Theory and Practice,3 credit(s).
ENG 240 - Professional Writing: Theory and Practice,3 credit(s).
ENG 280 - Writing for Nonprofit Organizations,3 credit(s).
ENG 298 - Special Topics in English,3 credit(s).
ENG 302 - Intermediate Poetry Writing,3 credit(s).
ENG 304 - Technical Writing and Communication,3 credit(s).
ENG 306 - Intermediate Fiction Writing,3 credit(s).
ENG 307 - Literary Analysis for English Majors,3 credit(s).
ENG 308 - English Studies: Critical Theories,3 credit(s).
ENG 309 - Rhetorical Strategies in Writing and Communication,3 credit(s).
ENG 312 - English Grammar Systems,3 credit(s).
ENG 316 - Writing for Business and Industry,3 credit(s).
ENG 317 - Cross-Cultural Literatures and Contexts,3 credit(s).
ENG 318 - Writing for the Web,3 credit(s).
ENG 321 - British Literature through History I,3 credit(s).
ENG 322 - British Literature through History II,3 credit(s).
ENG 323 - American Literature through History,3 credit(s).
ENG 342 - Shakespeare I: 1564-1601,3 credit(s).
ENG 343 - Shakespeare II: 1601-1616,3 credit(s).
ENG 350 - Environmental Writing,3 credit(s).
ENG 352 - Medical and Health Writing,3 credit(s).
ENG 360 - Early American Writers,3 credit(s).
ENG 371 - Literature into Film,3 credit(s).
ENG 372 - Young Adult Literature,3 credit(s).
ENG 380 - Chaucer,3 credit(s).
ENG 402 - Advanced Poetry Writing,3 credit(s).
ENG 406 - Advanced Fiction Writing,3 credit(s).
ENG 412 - Soundwriting,3 credit(s).
ENG 415 - History of the English Language,3 credit(s).
ENG 423 - Contemporary African-American Novelists,3 credit(s).
ENG 424 - The Harlem Renaissance,3 credit(s).
ENG 462 - Gay and Lesbian Film and Literature,3 credit(s).
ENG 486 - Seminar in American Literature,3 credit(s).
ENG 487 - Seminar in British Literature,3 credit(s).
ENG 490 - Advanced Seminar in Literature,3 credit(s).
ENG 491 - Career Preparation in English,1 credit(s).
ENG 492 - Teaching English: Methods I,3 credit(s).
ENG 493 - Teaching English: Methods II,3 credit(s).
ENG 494 - Student Teaching–English,10.5 credit(s).
ENG 496 - Student Teaching Seminar–English,2 to 3 credit(s).
ENG 497 - Internship in Teaching Writing,3 credit(s).
ENG 498 - Professional Writing Internship,1 to 3 credit(s).
ENG 499 - Independent Study,1 to 3 credit(s).
ENV 100 - Environmental Studies I,3 credit(s).
ENV 101 - Critical Thinking: Global Environmental Issues,3 credit(s).
ENV 200 - Systems Thinking for the Environment,3 credit(s).
ENV 204 - Principles of Sustainability,3 credit(s).
ENV 220 - Global Climate Change,3 credit(s).
ENV 304 - Sustainability and Public Engagement,3 credit(s).
ENV 333 - Environmental Impact Assessment & Management,3 credit(s).
ENV 350 - Environmental Systems Inquiry,3 credit(s).
ENV 400 - Environmental Policy,3 credit(s).
ENV 401 - Pollution Prevention and Controls,3 credit(s).
ENV 404 - Applied Sustainability Science,3 credit(s).
ENV 491 - Environmental Problem Solving,3 credit(s).
ENV 498 - Special Topics in Environmental Studies,3 credit(s).
ESC 103 - General Geology,3 credit(s).
ESC 104 - Geohazards and Natural Disasters,3 credit(s).
ESC 106 - General Oceanography,3 credit(s).
ESC 111 - Life Through Time,3 credit(s).
ESC 200 - Physical Geology,4 credit(s).
